mag_id,family_origin,Amino_acid_transport_and_metabolism,Carbohydrate_transport_and_metabolism,Cell_cycle_control__cell_division__chromosome_partitioning_,Cell_motility,Cell_wall_membrane_envelope_biogenesis,Coenzyme_transport_and_metabolism,Defense_mechanisms,Energy_production_and_conversion,Function_unknown,General_function_prediction_only,Inorganic_ion_transport_and_metabolism,Intracellular_trafficking__secretion__and_vesicular_transport_,Lipid_transport_and_metabolism,Nucleotide_transport_and_metabolism,Posttranslational_modification__protein_turnover__chaperones_,Replication__recombination_and_repair_,Secondary_metabolites_biosynthesis__transport_and_catabolism_,Signal_transduction_mechanisms,Transcription,Translation__ribosomal_structure_and_biogenesis_
ASM151242,Clostridiaceae_engineered,60,45,16,22,33,22,3,20,27,43,12,16,23,27,24,37,4,20,28,74
ASM151250,Clostridiaceae_engineered,68,32,14,26,33,43,2,33,25,44,27,22,21,33,39,44,6,19,37,82
ASM151255,Clostridiaceae_engineered,64,41,13,14,33,22,1,23,22,45,26,17,22,26,21,43,4,22,25,83
ASM164338,Clostridiaceae_hosted,63,25,11,2,25,34,2,19,20,58,22,9,17,26,22,38,1,13,23,73
ASM194092,Ruminococcaceae_hosted,60,42,12,1,28,38,6,27,21,37,14,9,20,33,26,51,5,12,48,83
ASM194099,Ruminococcaceae_hosted,54,33,8,4,29,26,2,15,18,33,10,9,12,25,26,46,2,13,20,77
ASM194113,Ruminococcaceae_hosted,59,33,11,2,32,33,3,25,15,44,15,10,17,32,28,42,6,12,23,77
ASM229329,Ruminococcaceae_hosted,54,32,12,14,21,22,2,25,22,34,12,12,18,32,26,42,5,18,23,79
ASM229812,Clostridiaceae_engineered,56,54,15,21,42,43,4,42,31,65,41,17,32,41,35,54,10,28,36,93
ASM229938,Lactobacillaceae_hosted,69,33,11,16,30,18,0,18,25,41,30,18,14,38,34,54,2,15,28,72
ASM229975,Lactobacillaceae_hosted,41,30,8,2,32,26,0,20,26,40,21,12,16,47,23,53,5,14,23,85
ASM230010,Lactobacillaceae_hosted,33,26,3,1,23,11,0,11,23,36,16,9,10,34,21,42,2,9,18,79
ASM230504,Ruminococcaceae_engineered,56,38,9,0,23,14,3,7,16,40,15,9,21,32,25,41,5,10,19,74
ASM230507,Ruminococcaceae_engineered,64,18,9,15,29,25,1,26,23,43,24,13,16,28,24,44,5,16,20,78
ASM230557,Ruminococcaceae_engineered,62,59,12,0,31,26,3,24,24,47,19,10,20,34,35,48,4,12,22,82
ASM230568,Ruminococcaceae_engineered,73,54,10,0,37,24,1,25,22,45,17,7,18,29,31,39,7,15,24,79
ASM230572,Ruminococcaceae_engineered,68,36,12,17,30,52,1,21,21,37,27,15,18,33,27,41,5,20,30,78
ASM230637,Ruminococcaceae_engineered,57,62,8,1,32,11,1,23,16,43,20,7,19,28,30,36,5,15,18,75
ASM230963,Ruminococcaceae_hosted,49,38,9,1,25,39,0,27,22,37,15,6,18,30,17,36,5,13,30,55
ASM231114,Lactobacillaceae_hosted,24,48,6,2,33,15,3,19,26,44,19,13,11,31,30,58,2,15,21,92
ASM231119,Lactobacillaceae_hosted,23,48,6,2,33,15,2,19,26,44,19,13,11,31,30,57,3,15,21,92
ASM231122,Lactobacillaceae_hosted,17,41,5,1,26,13,0,11,19,33,16,8,10,28,23,46,2,10,14,58
ASM231125,Lactobacillaceae_hosted,24,48,6,2,33,15,2,19,26,43,19,13,11,31,30,57,3,14,21,92
ASM231179,Lactobacillaceae_hosted,24,48,6,2,33,15,3,19,26,44,19,13,11,31,30,58,2,15,21,92
ASM231523,Ruminococcaceae_hosted,56,36,10,12,20,34,0,15,19,34,11,13,17,30,28,35,4,11,26,71
ASM231687,Ruminococcaceae_engineered,66,53,11,10,25,24,2,21,17,39,17,12,19,23,29,47,1,13,20,78
ASM231696,Lactobacillaceae_engineered,17,32,4,2,23,15,1,11,18,33,11,9,12,20,18,38,2,9,15,77
ASM231748,Clostridiaceae_hosted,112,182,13,16,52,48,4,60,38,89,45,22,23,55,46,61,11,55,43,78
ASM232055,Ruminococcaceae_hosted,57,32,11,0,34,27,2,23,15,40,19,9,17,29,29,44,6,13,25,80
ASM232843,Clostridiaceae_engineered,96,54,11,1,39,43,2,42,29,62,35,11,43,40,29,46,10,7,20,73
ASM232928,Ruminococcaceae_engineered,55,33,12,0,31,19,4,15,19,32,6,5,13,27,22,44,5,11,21,65
ASM232936,Ruminococcaceae_engineered,55,35,10,0,31,25,1,20,13,36,7,6,15,21,23,38,4,12,23,75
ASM233158,Ruminococcaceae_engineered,61,49,9,0,37,20,1,24,18,43,21,5,13,29,30,35,3,14,22,69
ASM233184,Ruminococcaceae_engineered,47,19,11,0,19,25,1,13,18,25,12,9,18,25,22,40,4,12,21,70
ASM233888,Ruminococcaceae_hosted,49,35,11,0,24,16,1,14,16,34,19,8,19,31,31,40,4,13,19,74
ASM235838,Lactobacillaceae_hosted,45,57,11,2,35,21,3,21,32,46,31,11,12,44,32,54,3,13,33,67
ASM235855,Clostridiaceae_hosted,64,54,10,4,29,30,1,23,23,49,24,8,15,30,31,45,5,20,28,56
ASM236205,Ruminococcaceae_hosted,64,52,8,2,28,38,5,22,17,46,16,10,23,32,33,42,7,16,28,53
ASM236213,Ruminococcaceae_hosted,60,23,8,1,17,35,1,22,15,30,8,7,20,29,22,41,3,10,21,56
ASM236217,Ruminococcaceae_hosted,69,29,9,1,28,43,2,26,20,36,8,6,18,31,23,45,3,13,20,63
ASM236247,Ruminococcaceae_hosted,36,40,11,0,26,12,4,12,17,33,9,7,12,25,22,41,2,10,21,72
ASM236319,Ruminococcaceae_hosted,72,47,8,2,34,40,2,24,18,41,16,12,25,33,29,42,6,14,30,61
ASM236877,Ruminococcaceae_hosted,56,35,7,1,26,38,2,17,19,40,9,9,24,31,17,35,5,13,33,67
ASM237182,Ruminococcaceae_hosted,61,37,9,1,34,44,2,25,20,40,9,10,21,36,29,46,5,11,27,66
ASM237205,Ruminococcaceae_hosted,55,48,6,2,34,40,3,23,18,43,15,11,25,29,28,40,7,12,27,57
ASM237238,Ruminococcaceae_hosted,53,39,8,3,19,29,2,25,19,33,15,7,14,26,24,36,6,10,16,59
ASM237316,Ruminococcaceae_hosted,68,34,10,1,31,42,2,20,18,34,8,7,20,29,25,47,6,8,23,70
ASM238220,Clostridiaceae_engineered,116,72,10,3,36,48,2,51,31,77,40,15,46,46,36,40,9,12,23,87
ASM238572,Ruminococcaceae_engineered,55,38,9,0,22,25,2,21,18,33,13,4,20,28,25,42,7,9,20,80
ASM238999,Ruminococcaceae_hosted,58,29,8,1,24,37,2,17,18,32,5,9,22,24,24,42,4,11,20,67
ASM239143,Ruminococcaceae_engineered,48,31,8,0,21,18,1,15,15,27,10,4,14,25,22,33,6,7,20,68
ASM239162,Ruminococcaceae_engineered,60,25,5,1,27,30,2,18,23,41,14,14,18,28,23,42,6,13,18,79
ASM239254,Ruminococcaceae_hosted,55,25,7,1,25,31,2,21,17,37,8,10,16,27,27,35,4,13,18,63
ASM239308,Ruminococcaceae_hosted,55,29,8,0,26,43,1,20,16,35,5,8,16,22,21,42,4,10,20,52
ASM239310,Ruminococcaceae_hosted,61,39,8,1,32,40,2,17,17,41,15,12,24,26,26,42,8,15,30,49
ASM239374,Ruminococcaceae_hosted,67,35,8,1,25,47,0,27,26,43,12,10,19,36,28,45,6,13,35,73
ASM239412,Ruminococcaceae_hosted,51,43,9,1,29,26,3,23,17,38,9,8,19,29,26,56,9,13,36,68
ASM239469,Ruminococcaceae_hosted,66,36,7,1,29,48,2,23,18,39,10,11,19,33,23,44,3,10,27,78
ASM239508,Ruminococcaceae_hosted,63,48,10,2,29,47,2,26,22,43,14,9,17,33,24,48,4,14,29,79
ASM239552,Ruminococcaceae_hosted,61,42,10,6,20,29,3,26,21,40,16,8,14,32,28,44,6,13,18,71
ASM239614,Ruminococcaceae_hosted,55,23,9,0,29,19,1,21,23,42,15,8,16,27,31,40,5,12,23,71
ASM239700,Ruminococcaceae_engineered,58,41,11,13,28,22,1,19,24,41,15,15,16,27,20,45,3,15,23,59
ASM239701,Clostridiaceae_engineered,48,43,14,15,30,17,3,27,25,49,17,14,17,34,31,41,6,17,35,70
ASM239704,Lactobacillaceae_engineered,20,33,6,2,25,15,1,12,18,37,15,10,13,26,21,51,2,9,17,80
ASM239716,Ruminococcaceae_engineered,82,40,11,12,24,43,1,18,25,48,21,13,20,32,23,44,2,16,23,78
ASM239720,Ruminococcaceae_engineered,61,47,13,10,24,18,2,14,19,40,17,12,15,29,22,44,3,10,18,76
ASM239723,Lactobacillaceae_engineered,18,31,5,1,29,15,1,11,21,35,12,8,14,25,19,49,3,9,16,81
ASM239770,Ruminococcaceae_engineered,63,33,14,12,23,28,2,20,22,39,25,15,15,31,23,47,3,13,22,69
ASM239787,Lactobacillaceae_engineered,19,31,5,2,27,13,1,11,20,32,11,8,13,25,17,47,2,10,15,77
ASM239790,Ruminococcaceae_engineered,69,42,9,0,28,26,1,19,20,46,26,10,18,33,25,41,2,13,24,83
ASM239804,Ruminococcaceae_engineered,78,41,11,13,26,41,1,20,23,47,27,13,19,30,22,40,1,19,20,71
ASM239824,Lactobacillaceae_engineered,75,93,9,3,32,39,3,22,35,63,34,12,20,49,28,60,6,21,35,86
ASM239852,Ruminococcaceae_engineered,58,33,10,8,27,26,1,17,21,31,11,13,21,27,22,40,1,13,17,74
ASM239860,Clostridiaceae_engineered,47,35,14,16,30,13,0,24,24,46,20,15,17,25,32,41,5,18,31,71
ASM239870,Clostridiaceae_engineered,72,40,9,3,32,49,5,26,23,47,39,12,28,38,30,40,3,10,27,76
ASM239874,Ruminococcaceae_engineered,67,34,10,13,26,28,1,18,23,37,13,12,21,29,17,44,3,15,20,81
ASM239894,Clostridiaceae_engineered,43,46,15,14,35,14,2,22,21,43,17,11,14,26,31,36,6,17,28,69
ASM239900,Ruminococcaceae_engineered,67,65,12,13,26,24,2,24,22,44,14,10,21,31,18,48,3,10,21,78
ASM239936,Ruminococcaceae_engineered,61,41,9,0,28,27,1,19,21,42,25,10,14,33,23,42,2,13,22,80
ASM239942,Clostridiaceae_engineered,45,36,14,16,28,13,2,28,26,42,18,14,13,24,32,43,6,16,33,72
ASM240001,Ruminococcaceae_engineered,65,66,11,13,26,17,0,16,19,39,19,11,21,31,25,44,6,17,28,78
ASM240008,Clostridiaceae_engineered,54,50,15,16,30,17,1,31,29,50,21,13,18,29,31,46,7,18,36,76
ASM240009,Lactobacillaceae_engineered,18,28,7,1,24,12,1,10,21,35,13,7,13,23,17,45,4,7,17,76
ASM240028,Lactobacillaceae_engineered,15,27,5,1,20,13,1,9,15,32,11,5,5,24,18,42,2,8,15,73
ASM240032,Clostridiaceae_engineered,44,39,14,14,28,15,2,27,25,50,15,11,14,33,32,37,4,16,29,70
ASM240476,Ruminococcaceae_hosted,67,31,10,1,35,35,1,21,21,33,12,10,20,33,21,44,7,11,21,76
ASM240767,Ruminococcaceae_engineered,67,52,10,13,28,20,4,27,17,38,19,13,20,30,26,40,3,13,21,78
ASM240794,Ruminococcaceae_engineered,62,60,14,14,27,26,1,16,16,44,15,13,18,27,25,46,3,11,18,74
ASM240802,Lactobacillaceae_engineered,19,24,5,2,24,14,1,11,17,34,14,7,12,24,20,45,2,7,17,79
ASM240821,Ruminococcaceae_engineered,68,55,14,6,26,21,3,21,22,46,16,8,19,31,26,45,3,11,16,74
ASM240920,Lactobacillaceae_engineered,19,29,5,1,24,15,2,11,18,38,13,5,14,25,19,43,4,7,16,76
ASM240958,Ruminococcaceae_engineered,63,48,11,14,24,18,1,16,20,36,16,13,21,33,23,44,7,16,28,78
ASM240986,Ruminococcaceae_engineered,58,42,9,0,24,27,1,19,18,36,25,8,14,32,18,39,2,13,21,76
ASM240999,Clostridiaceae_engineered,93,105,11,1,38,43,2,37,36,76,37,10,20,44,38,55,6,21,35,82
ASM241028,Lactobacillaceae_engineered,17,34,5,1,27,12,1,10,17,38,13,8,14,25,22,42,3,12,16,78
ASM241058,Ruminococcaceae_engineered,62,41,9,0,27,27,1,23,21,41,24,10,14,35,24,41,2,13,23,79
ASM241066,Clostridiaceae_engineered,75,46,10,11,32,59,7,29,29,60,42,15,28,46,30,45,6,17,29,79
ASM241067,Ruminococcaceae_engineered,58,42,9,0,24,27,1,18,16,36,25,8,14,32,19,39,2,13,21,76
ASM241122,Ruminococcaceae_engineered,68,37,9,0,28,27,1,18,19,45,19,8,17,32,23,43,2,12,24,81
ASM241136,Ruminococcaceae_engineered,69,38,10,9,28,28,1,18,23,39,12,11,21,27,23,42,2,14,20,69
ASM241786,Lactobacillaceae_engineered,21,27,7,1,25,13,1,11,20,35,18,9,15,20,21,48,2,9,21,59
ASM241789,Lactobacillaceae_engineered,32,37,6,2,26,16,1,15,28,41,20,10,17,48,26,54,3,13,21,88
ASM241794,Lactobacillaceae_engineered,38,36,8,2,26,28,2,22,26,49,29,10,15,39,22,57,4,18,27,81
ASM241800,Lactobacillaceae_engineered,67,34,13,2,35,33,1,26,31,50,32,11,13,43,23,53,2,12,23,89
ASM241805,Lactobacillaceae_engineered,22,21,5,2,26,15,1,10,19,29,20,9,14,19,22,44,2,11,22,73
ASM241809,Lactobacillaceae_engineered,63,33,13,2,37,31,1,25,31,48,30,11,14,44,24,53,2,12,25,91
ASM241813,Lactobacillaceae_engineered,21,27,5,1,27,15,1,12,22,33,20,8,13,19,21,48,2,10,20,58
ASM242397,Lactobacillaceae_engineered,19,35,6,2,29,15,1,11,21,37,15,8,13,28,22,48,3,9,18,82
ASM242405,Lactobacillaceae_engineered,18,35,6,2,31,15,1,10,20,36,15,9,13,27,20,52,3,10,19,83
ASM242421,Ruminococcaceae_engineered,63,44,12,14,25,23,1,19,18,40,21,12,18,29,24,42,1,14,18,75
ASM242622,Clostridiaceae_engineered,53,49,14,16,31,15,4,28,30,50,22,14,16,31,33,45,6,21,36,70
ASM242639,Ruminococcaceae_engineered,68,39,9,0,28,27,1,20,21,43,26,10,18,34,25,44,2,12,24,83
ASM242657,Clostridiaceae_engineered,57,83,13,18,32,18,4,38,23,54,30,17,18,26,38,36,10,18,31,81
ASM242665,Ruminococcaceae_engineered,62,50,11,11,25,25,3,17,18,46,17,11,23,28,26,42,3,13,17,70
ASM242671,Lactobacillaceae_engineered,18,32,5,2,24,15,1,11,18,36,12,9,15,28,20,46,3,10,16,83
ASM242696,Ruminococcaceae_engineered,68,42,9,0,28,27,1,20,20,43,26,10,18,34,26,44,2,13,23,83
ASM242714,Clostridiaceae_engineered,49,43,15,13,32,14,3,30,27,47,22,10,16,25,31,43,6,17,33,55
ASM242725,Lactobacillaceae_engineered,18,26,6,1,28,16,1,10,19,35,12,8,14,28,21,48,3,7,17,82
ASM242860,Clostridiaceae_engineered,106,53,9,3,32,45,2,43,28,62,36,15,33,38,33,39,11,12,23,83
ASM243197,Ruminococcaceae_hosted,55,29,7,1,27,43,3,17,21,40,17,8,16,30,22,38,4,8,22,66
ASM243860,Ruminococcaceae_hosted,68,31,12,1,34,31,1,23,24,38,12,9,19,35,23,42,6,15,23,82
ASM244843,Ruminococcaceae_hosted,60,27,8,0,32,22,1,21,22,42,14,8,16,31,32,37,5,12,22,81
ASM244957,Ruminococcaceae_hosted,47,26,10,1,25,31,1,14,19,33,3,6,19,30,13,45,6,12,22,59
ASM244958,Ruminococcaceae_hosted,66,30,12,1,33,49,3,16,16,39,9,9,20,34,26,50,6,12,26,78
ASM247336,Ruminococcaceae_hosted,65,28,7,1,30,40,1,21,14,33,10,6,20,31,23,44,3,10,26,53
ASM247971,Ruminococcaceae_hosted,60,28,8,4,26,23,1,16,15,35,9,12,20,24,21,41,5,11,16,81
ASM249080,Ruminococcaceae_hosted,40,42,10,0,26,12,4,12,18,34,9,8,12,28,22,41,3,10,21,76
ASM249094,Ruminococcaceae_hosted,46,40,10,0,25,12,4,12,19,34,9,7,13,37,24,41,3,12,19,68
ASM249160,Ruminococcaceae_hosted,50,45,10,0,26,13,4,12,19,36,13,8,12,38,24,43,3,13,22,75
ASM314976,Clostridiaceae_hosted,69,36,12,8,29,45,1,33,28,67,44,10,25,40,28,47,8,22,36,75
ASM314987,Clostridiaceae_hosted,69,39,12,13,35,40,2,23,19,40,12,10,27,36,27,44,3,17,26,68
ASM334402,Ruminococcaceae_hosted,47,25,10,0,30,15,2,18,15,28,15,5,15,27,26,40,4,9,18,71
ASM344499,Lactobacillaceae_hosted,25,48,11,1,31,15,1,23,25,39,26,11,13,35,26,49,3,10,24,55
ASM344736,Ruminococcaceae_hosted,69,34,10,3,32,32,2,33,21,44,20,14,19,32,35,41,4,12,30,79
ASM344920,Ruminococcaceae_hosted,56,31,9,0,27,34,1,18,18,39,10,6,17,30,21,39,4,10,22,67
ASM345259,Lactobacillaceae_hosted,63,42,7,3,35,28,1,24,30,49,23,13,19,50,22,56,5,15,23,81
ASM345435,Ruminococcaceae_hosted,55,29,8,1,23,33,3,10,13,35,4,9,14,24,25,37,5,13,19,46
ASM345487,Lactobacillaceae_hosted,30,40,9,1,30,13,2,17,25,33,25,10,12,38,21,51,4,14,24,58
ASM348240,Lactobacillaceae_engineered,42,35,10,2,25,29,3,19,24,44,29,7,11,38,23,58,2,15,22,76
ASM348686,Ruminococcaceae_hosted,56,29,13,0,36,25,1,20,25,36,13,10,18,30,25,47,5,15,25,80
ASM348854,Ruminococcaceae_hosted,67,34,11,3,28,31,3,30,21,42,19,13,18,33,36,41,5,11,34,77
ASM349712,Clostridiaceae_engineered,85,36,12,14,32,60,2,30,21,50,43,17,26,40,24,46,10,20,27,74
ASM349978,Clostridiaceae_engineered,41,36,13,15,27,10,1,27,25,42,17,12,14,22,28,41,5,15,29,55
ASM350064,Lactobacillaceae_engineered,19,31,3,1,22,13,1,12,16,30,17,6,12,25,17,41,2,8,14,72
ASM350065,Clostridiaceae_engineered,39,39,14,15,22,9,3,27,24,43,19,12,13,28,28,40,4,17,30,67
ASM350092,Lactobacillaceae_engineered,72,36,11,2,28,47,1,29,29,51,36,8,17,43,22,48,7,13,25,80
ASM350384,Ruminococcaceae_hosted,71,31,9,3,32,33,3,30,22,40,20,15,19,32,34,41,5,14,31,80
ASM350721,Ruminococcaceae_hosted,88,82,10,0,33,42,1,32,27,43,42,8,16,37,28,51,6,16,33,76
ASM350881,Ruminococcaceae_hosted,68,32,9,3,31,32,2,29,22,45,19,15,19,32,36,42,5,12,27,79
ASM351380,Lactobacillaceae_hosted,47,47,12,1,38,20,2,23,29,46,22,8,17,46,27,47,4,14,26,91
ASM351438,Ruminococcaceae_hosted,51,42,11,0,33,21,3,20,20,38,9,8,20,34,25,42,3,14,27,82
ASM352162,Ruminococcaceae_hosted,60,24,9,0,31,25,2,18,24,35,9,11,17,28,23,44,3,12,22,79
ASM352218,Ruminococcaceae_hosted,56,59,11,0,38,30,1,24,20,50,26,8,28,30,32,42,4,19,27,61
ASM352466,Ruminococcaceae_hosted,59,30,9,1,32,40,4,15,18,37,18,7,15,25,19,37,4,12,26,57
ASM352684,Ruminococcaceae_hosted,60,44,10,0,29,26,0,19,20,42,14,7,14,35,24,43,3,14,21,80
ASM352988,Lactobacillaceae_hosted,61,49,10,3,27,25,1,17,28,47,29,12,17,39,27,56,4,14,29,91
ASM353325,Lactobacillaceae_engineered,36,44,5,2,36,16,1,20,27,48,28,11,13,33,28,61,4,14,27,86
ASM353431,Ruminococcaceae_hosted,58,45,9,0,33,20,2,26,19,36,10,9,18,29,29,46,3,12,22,84
ASM353483,Ruminococcaceae_hosted,57,30,13,0,34,27,2,18,22,38,14,10,18,30,25,52,5,13,25,80
ASM353507,Ruminococcaceae_engineered,68,42,13,12,25,21,1,14,21,41,20,15,17,27,25,39,2,16,21,71
ASM353509,Ruminococcaceae_hosted,57,29,13,0,33,27,2,17,26,39,15,10,18,30,26,48,4,14,23,81
ASM353893,Ruminococcaceae_hosted,64,27,9,4,29,32,2,30,23,43,18,15,19,32,32,41,3,9,23,64
ASM354057,Ruminococcaceae_hosted,71,31,9,3,32,33,3,29,22,40,17,15,19,32,35,41,5,14,31,79
ASM354157,Clostridiaceae_engineered,77,44,12,21,38,35,4,24,31,51,28,24,30,35,35,51,4,22,29,77
ASM386226,Lactobacillaceae_engineered,35,29,11,3,22,16,2,11,20,31,10,8,13,33,16,36,3,11,18,68
ASM386227,Lactobacillaceae_engineered,89,58,12,2,40,63,1,32,40,62,49,11,19,47,28,64,11,15,32,91
ASM386229,Lactobacillaceae_engineered,86,56,13,2,36,51,4,29,35,58,48,11,17,50,26,59,4,13,24,88
ASM98023,Ruminococcaceae_hosted,67,40,10,0,29,46,4,22,21,46,13,6,19,37,28,45,5,14,23,81
ASM98032,Clostridiaceae_hosted,59,47,9,0,29,25,0,15,19,36,17,8,15,33,25,43,2,12,24,77
ASM98038,Ruminococcaceae_hosted,66,34,9,3,30,33,2,31,22,41,19,14,19,32,34,41,6,13,28,80
ASM98070,Ruminococcaceae_hosted,59,36,12,2,33,45,5,20,21,39,27,8,18,23,24,40,8,12,24,75
CloBut_DORA_1_velvet,Clostridiaceae_hosted,114,77,10,18,33,66,6,40,32,74,65,17,22,47,51,50,5,33,37,84
